kind,description,event_slug,n_legs,shares,capital_required,guaranteed_payout,fees,profit,profit_per_share,roi,verified_exhaustive,requires_complete_set_mint,notes
binary_complement,Buy YES+NO: Binary market 5,binary-event-5,2,648.6500850303179,624.5296269070909,648.6500850303179,0.0,24.120458123226967,0.037185623928654196,0.03862179964572807,True,False,
binary_complement,Buy YES+NO: Binary market 0,binary-event-0,2,619.1641402908728,595.4913276757572,619.1641402908728,0.0,23.672812615115504,0.038233500738583504,0.03975341287926406,True,False,
binary_mint_and_sell,Mint set and sell YES+NO: Binary market 16,binary-event-16,2,611.4018130078642,611.4018130078642,0.0,0.0,19.865394661206096,0.032491553408184895,0.032491553408184895,True,True,Requires the on-chain complete-set split; profit realizes immediately.
binary_mint_and_sell,Mint set and sell YES+NO: Binary market 1,binary-event-1,2,612.0660336188786,612.0660336188786,0.0,0.0,19.322156900389814,0.031568745591298956,0.031568745591298956,True,True,Requires the on-chain complete-set split; profit realizes immediately.
binary_mint_and_sell,Mint set and sell YES+NO: Binary market 6,binary-event-6,2,646.6880443045656,646.6880443045656,0.0,0.0,18.904658727166066,0.02923304194914525,0.02923304194914525,True,True,Requires the on-chain complete-set split; profit realizes immediately.
binary_mint_and_sell,Mint set and sell YES+NO: Binary market 11,binary-event-11,2,557.6096362645517,557.6096362645517,0.0,0.0,17.8815568785285,0.03206823504399554,0.03206823504399554,True,True,Requires the on-chain complete-set split; profit realizes immediately.
binary_complement,Buy YES+NO: Binary market 15,binary-event-15,2,512.3431464129467,495.8962545032498,512.3431464129467,0.0,16.446891909696888,0.03210132120405248,0.033165993411610056,True,False,
binary_complement,Buy YES+NO: Binary market 10,binary-event-10,2,424.25447660819924,409.4057856122347,424.25447660819924,0.0,14.848690995964546,0.03499949161332568,0.03626888411886871,True,False,
group_dutch_book,Buy YES across 4 outcomes of group-event-0,group-event-0,4,389.4847447424917,381.6950498476418,389.4847447424917,0.0,7.789694894849902,0.020000000000000174,0.0204081632653063,True,False,
group_dutch_book,Buy YES across 4 outcomes of group-event-3,group-event-3,4,354.2813569053832,347.1957297672755,354.2813569053832,0.0,7.085627138107668,0.020000000000000014,0.020408163265306135,True,False,
neg_risk_no_basket,Buy NO across 4 outcomes of group-event-1,group-event-1,4,335.5704697986577,1000.0,1006.7114093959731,0.0,6.711409395973078,0.01999999999999977,0.006711409395973078,True,False,
